BLACK$MITH ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
S.NO,DATE,LOAD FROM,LOAD TO,LOADAMT,RENT CASH,LOAD,ROPE,DIESEL,RTO,TOLL,WT.,UNLOAD,DRIVER,Emi,Home,Road Tax Insurance ,FINE,EXPENSE
,,,,,,,,,,,,,,,,,,
1,11.08.2024,Mk,chotuppal,17700,,500,200,11000,200,0,,1400,,0,0,0,150,13850
,13.08.2024,sangareddy,Mk,13750,,,100,,,,,300,,,,,,
2,14.08.2024,Mk,maheswaram,17750,,1020,400,12000,300,,100,1700,,,,,,16520
,18.08.2024,nacharam,MK,13700,,300,,,,,,700,,,,,,
3,16.08.2024,Mk,jinaram,13360,,400,200,10000,300,,100,2000,2800,,,,,16400
,18.08.2024,nacharam,Mk,13720,,300,,,,,,300,,,,,,
4,18.08.2024,Mk, medchal,13500,,480,200,9000,200,,100,100,,,,,,13080
,20.08.2024,sangareddy,Mk,13460,,,,,,,,300,2700,,,,,
5,21.08.2024,Mk,jinaram,17300,,500,200,10500,300,,100,2380,,,,,,17480
,23.08.2024,nacharam,Mk,14150,,300,200,,,,,300,2700,,,,,
6,23.08.2024,Mk,maheswaram,13560,,390,300,12000,300,,100,1560,,,,,,17950
,25.08.2024,Nacharam,Mk,14160,,300,,,,,,300,2700,,,,,
7,26.08.2024,Mk,jedimetla ,15120,,450,300,12000,300,,100,2750,,,,,250,19450
,28.08.2024,karmanghat,Mk,14120,,300,,,,,,300,2700,,,,,
8,29.08.2024,Mk,jedimetla ,17930,,520,300,11000,300,,100,2880,,,,,,18400
,31.08.2024,nacharam,Mk,14360,,300,,,,,,300,2700,,,,,
9,05.09.2024,Mk,uppal ,14610,,420,300,10000,300,,100,2200,,,,,,16420
,07.09.2024,karmanghat,Mk,14100,,300,,,,,,300,2500,,,,,
10,07.09.2024,Mk,jedimetla ,14130,,430,300,9000,300,,200,2550,,,,,,15880
,10.09.2024,karmanghat,Mk,13765,,300,,,,,,300,2500,,,,,
11,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,294245,0,7510,3000,106500,2800,0,1000,22920,21300,0,0,0,400,165430
,,,,,294245,,,,,,,,,,,,,128815
